question,id,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
What is the total number of unique sound types in this audio?,28,TREA_dataset/count/audios/28.wav,4,3,2,1,C,"['ESC-50-master/audio/5-201170-A-46.wav', 'ESC-50-master/audio/4-181999-A-36.wav', 'ESC-50-master/audio/4-181999-A-36.wav', 'ESC-50-master/audio/5-201170-A-46.wav', 'ESC-50-master/audio/5-201170-A-46.wav']","['church_bells', 'vacuum_cleaner', 'vacuum_cleaner', 'church_bells', 'church_bells']"
How many different sound sources can be heard in this clip?,29,TREA_dataset/count/audios/29.wav,1,2,0,3,A,['ESC-50-master/audio/4-189832-B-22.wav'],['clapping']
What is the number of distinct sound sources in the audio file?,30,TREA_dataset/count/audios/30.wav,0,1,3,2,B,"['ESC-50-master/audio/1-26177-A-43.wav', 'ESC-50-master/audio/1-26177-A-43.wav', 'ESC-50-master/audio/1-26177-A-43.wav', 'ESC-50-master/audio/1-26177-A-43.wav']","['car_horn', 'car_horn', 'car_horn', 'car_horn']"
How many different types of sounds can be identified in this recording?,31,TREA_dataset/count/audios/31.wav,1,3,0,2,A,"['ESC-50-master/audio/5-189237-A-12.wav', 'ESC-50-master/audio/5-189237-A-12.wav']","['crackling_fire', 'crackling_fire']"
How many unique types of sound are present in this audio?,32,TREA_dataset/count/audios/32.wav,2,3,1,4,A,"['ESC-50-master/audio/1-67230-A-29.wav', 'ESC-50-master/audio/2-126433-A-17.wav', 'ESC-50-master/audio/2-126433-A-17.wav', 'ESC-50-master/audio/2-126433-A-17.wav']","['drinking_sipping', 'pouring_water', 'pouring_water', 'pouring_water']"
Identify the count of different sound sources in this clip.,33,TREA_dataset/count/audios/33.wav,2,3,1,0,C,['ESC-50-master/audio/4-163264-A-10.wav'],['rain']
What is the total number of unique sounds heard in this audio?,34,TREA_dataset/count/audios/34.wav,3,1,2,4,C,"['ESC-50-master/audio/2-209473-A-25.wav', 'ESC-50-master/audio/4-174860-A-3.wav', 'ESC-50-master/audio/4-174860-A-3.wav', 'ESC-50-master/audio/4-174860-A-3.wav']","['footsteps', 'cow', 'cow', 'cow']"
How many distinct sound categories are there in this audio file?,35,TREA_dataset/count/audios/35.wav,3,1,4,2,D,"['ESC-50-master/audio/5-235507-A-44.wav', 'ESC-50-master/audio/5-235507-A-44.wav', 'ESC-50-master/audio/4-156827-A-46.wav']","['engine', 'engine', 'church_bells']"
Determine the number of unique sound sources in this recording.,36,TREA_dataset/count/audios/36.wav,2,1,0,3,B,"['ESC-50-master/audio/5-219242-A-37.wav', 'ESC-50-master/audio/5-219242-A-37.wav']","['clock_alarm', 'clock_alarm']"
How many separate sound sources are included in the audio?,37,TREA_dataset/count/audios/37.wav,1,0,2,3,A,['ESC-50-master/audio/4-209536-A-37.wav'],['clock_alarm']
What is the total number of unique sound types in this audio?,38,TREA_dataset/count/audios/38.wav,2,1,3,0,B,['ESC-50-master/audio/1-43760-A-11.wav'],['sea_waves']
How many different sound sources can be heard in this clip?,39,TREA_dataset/count/audios/39.wav,3,2,0,1,D,"['ESC-50-master/audio/2-99955-C-7.wav', 'ESC-50-master/audio/2-99955-C-7.wav']","['insects', 'insects']"
What is the number of distinct sound sources in the audio file?,40,TREA_dataset/count/audios/40.wav,5,4,3,2,C,"['ESC-50-master/audio/2-96033-A-13.wav', 'ESC-50-master/audio/3-134699-C-16.wav', 'ESC-50-master/audio/3-51376-A-42.wav', 'ESC-50-master/audio/3-51376-A-42.wav']","['crickets', 'wind', 'siren', 'siren']"
How many different types of sounds can be identified in this recording?,41,TREA_dataset/count/audios/41.wav,1,3,2,4,C,"['ESC-50-master/audio/1-115545-A-48.wav', 'ESC-50-master/audio/1-22694-A-20.wav', 'ESC-50-master/audio/1-22694-A-20.wav']","['fireworks', 'crying_baby', 'crying_baby']"
How many unique types of sound are present in this audio?,42,TREA_dataset/count/audios/42.wav,4,3,1,2,D,"['ESC-50-master/audio/2-104168-A-32.wav', 'ESC-50-master/audio/2-104168-A-32.wav', 'ESC-50-master/audio/3-246513-A-16.wav', 'ESC-50-master/audio/3-246513-A-16.wav', 'ESC-50-master/audio/2-104168-A-32.wav']","['keyboard_typing', 'keyboard_typing', 'wind', 'wind', 'keyboard_typing']"
Identify the count of different sound sources in this clip.,43,TREA_dataset/count/audios/43.wav,5,3,2,4,B,"['ESC-50-master/audio/3-103401-B-33.wav', 'ESC-50-master/audio/1-20133-A-39.wav', 'ESC-50-master/audio/1-20133-A-39.wav', 'ESC-50-master/audio/5-185579-A-41.wav']","['door_wood_creaks', 'glass_breaking', 'glass_breaking', 'chainsaw']"
What is the total number of unique sounds heard in this audio?,44,TREA_dataset/count/audios/44.wav,2,1,3,0,B,['ESC-50-master/audio/5-235956-A-47.wav'],['airplane']
How many distinct sound categories are there in this audio file?,45,TREA_dataset/count/audios/45.wav,0,1,3,2,B,"['ESC-50-master/audio/2-83270-A-13.wav', 'ESC-50-master/audio/2-83270-A-13.wav', 'ESC-50-master/audio/2-83270-A-13.wav']","['crickets', 'crickets', 'crickets']"
Determine the number of unique sound sources in this recording.,46,TREA_dataset/count/audios/46.wav,3,2,0,1,D,['ESC-50-master/audio/4-175000-A-40.wav'],['helicopter']
How many separate sound sources are included in the audio?,47,TREA_dataset/count/audios/47.wav,2,0,1,3,C,['ESC-50-master/audio/2-109505-A-21.wav'],['sneezing']
What is the total number of unique sound types in this audio?,48,TREA_dataset/count/audios/48.wav,3,1,2,0,B,"['ESC-50-master/audio/4-218199-D-35.wav', 'ESC-50-master/audio/4-218199-D-35.wav']","['washing_machine', 'washing_machine']"
How many different sound sources can be heard in this clip?,49,TREA_dataset/count/audios/49.wav,2,0,3,1,D,['ESC-50-master/audio/1-43764-A-34.wav'],['can_opening']
What is the number of distinct sound sources in the audio file?,50,TREA_dataset/count/audios/50.wav,6,5,3,4,D,"['ESC-50-master/audio/3-129264-A-9.wav', 'ESC-50-master/audio/3-197408-C-8.wav', 'ESC-50-master/audio/2-39945-C-19.wav', 'ESC-50-master/audio/2-166644-B-2.wav', 'ESC-50-master/audio/2-39945-C-19.wav']","['crow', 'sheep', 'thunderstorm', 'pig', 'thunderstorm']"
How many different types of sounds can be identified in this recording?,51,TREA_dataset/count/audios/51.wav,2,3,0,1,D,"['ESC-50-master/audio/2-73027-A-10.wav', 'ESC-50-master/audio/2-73027-A-10.wav']","['rain', 'rain']"
How many unique types of sound are present in this audio?,52,TREA_dataset/count/audios/52.wav,1,3,0,2,A,"['ESC-50-master/audio/2-79775-A-26.wav', 'ESC-50-master/audio/2-79775-A-26.wav']","['laughing', 'laughing']"
Identify the count of different sound sources in this clip.,53,TREA_dataset/count/audios/53.wav,1,0,3,2,A,"['ESC-50-master/audio/2-134915-A-30.wav', 'ESC-50-master/audio/2-134915-A-30.wav', 'ESC-50-master/audio/2-134915-A-30.wav', 'ESC-50-master/audio/2-134915-A-30.wav']","['door_wood_knock', 'door_wood_knock', 'door_wood_knock', 'door_wood_knock']"
What is the total number of unique sounds heard in this audio?,54,TREA_dataset/count/audios/54.wav,3,1,0,2,B,"['ESC-50-master/audio/2-95035-A-1.wav', 'ESC-50-master/audio/2-95035-A-1.wav']","['rooster', 'rooster']"
How many distinct sound categories are there in this audio file?,55,TREA_dataset/count/audios/55.wav,1,3,2,0,A,"['ESC-50-master/audio/3-102583-B-49.wav', 'ESC-50-master/audio/3-102583-B-49.wav', 'ESC-50-master/audio/3-102583-B-49.wav']","['hand_saw', 'hand_saw', 'hand_saw']"
Determine the number of unique sound sources in this recording.,56,TREA_dataset/count/audios/56.wav,1,2,0,3,A,['ESC-50-master/audio/2-109371-B-16.wav'],['wind']
How many separate sound sources are included in the audio?,57,TREA_dataset/count/audios/57.wav,2,0,3,1,D,['ESC-50-master/audio/4-181865-A-38.wav'],['clock_tick']
What is the total number of unique sound types in this audio?,58,TREA_dataset/count/audios/58.wav,1,4,3,2,D,"['ESC-50-master/audio/1-62850-A-38.wav', 'ESC-50-master/audio/4-158653-A-32.wav', 'ESC-50-master/audio/1-62850-A-38.wav']","['clock_tick', 'keyboard_typing', 'clock_tick']"
How many different sound sources can be heard in this clip?,59,TREA_dataset/count/audios/59.wav,3,1,0,2,B,"['ESC-50-master/audio/5-173568-A-33.wav', 'ESC-50-master/audio/5-173568-A-33.wav', 'ESC-50-master/audio/5-173568-A-33.wav', 'ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']"
What is the number of distinct sound sources in the audio file?,60,TREA_dataset/count/audios/60.wav,3,1,4,2,D,"['ESC-50-master/audio/3-105236-A-7.wav', 'ESC-50-master/audio/5-117118-A-42.wav', 'ESC-50-master/audio/5-117118-A-42.wav']","['insects', 'siren', 'siren']"
How many different types of sounds can be identified in this recording?,61,TREA_dataset/count/audios/61.wav,4,1,2,3,C,"['ESC-50-master/audio/2-28314-B-12.wav', 'ESC-50-master/audio/2-28314-B-12.wav', 'ESC-50-master/audio/4-188703-A-8.wav', 'ESC-50-master/audio/4-188703-A-8.wav']","['crackling_fire', 'crackling_fire', 'sheep', 'sheep']"
How many unique types of sound are present in this audio?,62,TREA_dataset/count/audios/62.wav,2,3,1,0,C,"['ESC-50-master/audio/3-103051-B-19.wav', 'ESC-50-master/audio/3-103051-B-19.wav', 'ESC-50-master/audio/3-103051-B-19.wav', 'ESC-50-master/audio/3-103051-B-19.wav', 'ESC-50-master/audio/3-103051-B-19.wav']","['thunderstorm', 'thunderstorm', 'thunderstorm', 'thunderstorm', 'thunderstorm']"
Identify the count of different sound sources in this clip.,63,TREA_dataset/count/audios/63.wav,2,3,4,1,A,"['ESC-50-master/audio/1-81001-A-30.wav', 'ESC-50-master/audio/1-81001-A-30.wav', 'ESC-50-master/audio/2-118459-A-32.wav', 'ESC-50-master/audio/2-118459-A-32.wav']","['door_wood_knock', 'door_wood_knock', 'keyboard_typing', 'keyboard_typing']"
What is the total number of unique sounds heard in this audio?,64,TREA_dataset/count/audios/64.wav,3,1,0,2,B,"['ESC-50-master/audio/2-18766-B-12.wav', 'ESC-50-master/audio/2-18766-B-12.wav', 'ESC-50-master/audio/2-18766-B-12.wav']","['crackling_fire', 'crackling_fire', 'crackling_fire']"
How many distinct sound categories are there in this audio file?,65,TREA_dataset/count/audios/65.wav,0,2,1,3,C,"['ESC-50-master/audio/4-188191-C-29.wav', 'ESC-50-master/audio/4-188191-C-29.wav', 'ESC-50-master/audio/4-188191-C-29.wav', 'ESC-50-master/audio/4-188191-C-29.wav']","['drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'drinking_sipping']"
Determine the number of unique sound sources in this recording.,66,TREA_dataset/count/audios/66.wav,2,0,1,3,C,"['ESC-50-master/audio/1-116765-A-41.wav', 'ESC-50-master/audio/1-116765-A-41.wav']","['chainsaw', 'chainsaw']"
How many separate sound sources are included in the audio?,67,TREA_dataset/count/audios/67.wav,3,2,0,1,D,"['ESC-50-master/audio/5-209992-B-44.wav', 'ESC-50-master/audio/5-209992-B-44.wav']","['engine', 'engine']"
What is the total number of unique sound types in this audio?,68,TREA_dataset/count/audios/68.wav,2,4,3,1,A,"['ESC-50-master/audio/4-204202-A-29.wav', 'ESC-50-master/audio/4-204202-A-29.wav', 'ESC-50-master/audio/4-204202-A-29.wav', 'ESC-50-master/audio/4-204202-A-29.wav', 'ESC-50-master/audio/2-160128-A-7.wav']","['drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'insects']"
How many different sound sources can be heard in this clip?,69,TREA_dataset/count/audios/69.wav,4,3,2,5,B,"['ESC-50-master/audio/4-212604-C-15.wav', 'ESC-50-master/audio/2-37806-D-40.wav', 'ESC-50-master/audio/3-117504-B-16.wav', 'ESC-50-master/audio/4-212604-C-15.wav']","['water_drops', 'helicopter', 'wind', 'water_drops']"
What is the number of distinct sound sources in the audio file?,70,TREA_dataset/count/audios/70.wav,0,2,3,1,D,"['ESC-50-master/audio/5-201274-A-21.wav', 'ESC-50-master/audio/5-201274-A-21.wav']","['sneezing', 'sneezing']"
How many different types of sounds can be identified in this recording?,71,TREA_dataset/count/audios/71.wav,2,3,1,0,C,"['ESC-50-master/audio/1-56234-A-9.wav', 'ESC-50-master/audio/1-56234-A-9.wav']","['crow', 'crow']"
How many unique types of sound are present in this audio?,72,TREA_dataset/count/audios/72.wav,1,4,2,3,C,"['ESC-50-master/audio/4-174860-A-3.wav', 'ESC-50-master/audio/4-174860-A-3.wav', 'ESC-50-master/audio/2-126756-A-29.wav']","['cow', 'cow', 'drinking_sipping']"
Identify the count of different sound sources in this clip.,73,TREA_dataset/count/audios/73.wav,2,3,5,4,B,"['ESC-50-master/audio/4-184575-A-0.wav', 'ESC-50-master/audio/5-156999-C-19.wav', 'ESC-50-master/audio/4-184575-A-0.wav', 'ESC-50-master/audio/5-221567-A-22.wav', 'ESC-50-master/audio/5-156999-C-19.wav']","['dog', 'thunderstorm', 'dog', 'clapping', 'thunderstorm']"
What is the total number of unique sounds heard in this audio?,74,TREA_dataset/count/audios/74.wav,3,1,2,0,B,"['ESC-50-master/audio/3-149042-A-24.wav', 'ESC-50-master/audio/3-149042-A-24.wav', 'ESC-50-master/audio/3-149042-A-24.wav', 'ESC-50-master/audio/3-149042-A-24.wav']","['coughing', 'coughing', 'coughing', 'coughing']"
How many distinct sound categories are there in this audio file?,75,TREA_dataset/count/audios/75.wav,3,6,5,4,D,"['ESC-50-master/audio/1-155858-F-25.wav', 'ESC-50-master/audio/1-27724-A-1.wav', 'ESC-50-master/audio/4-189332-A-37.wav', 'ESC-50-master/audio/2-106072-A-36.wav', 'ESC-50-master/audio/4-189332-A-37.wav']","['footsteps', 'rooster', 'clock_alarm', 'vacuum_cleaner', 'clock_alarm']"
Determine the number of unique sound sources in this recording.,76,TREA_dataset/count/audios/76.wav,2,3,0,1,D,"['ESC-50-master/audio/3-142601-A-21.wav', 'ESC-50-master/audio/3-142601-A-21.wav']","['sneezing', 'sneezing']"
How many separate sound sources are included in the audio?,77,TREA_dataset/count/audios/77.wav,2,0,3,1,D,['ESC-50-master/audio/5-200334-A-1.wav'],['rooster']
What is the total number of unique sound types in this audio?,78,TREA_dataset/count/audios/78.wav,1,0,2,3,A,"['ESC-50-master/audio/1-47250-A-41.wav', 'ESC-50-master/audio/1-47250-A-41.wav', 'ESC-50-master/audio/1-47250-A-41.wav']","['chainsaw', 'chainsaw', 'chainsaw']"
How many different sound sources can be heard in this clip?,79,TREA_dataset/count/audios/79.wav,0,1,3,2,B,"['ESC-50-master/audio/2-112213-A-39.wav', 'ESC-50-master/audio/2-112213-A-39.wav']","['glass_breaking', 'glass_breaking']"
What is the number of distinct sound sources in the audio file?,80,TREA_dataset/count/audios/80.wav,0,1,3,2,B,"['ESC-50-master/audio/2-141681-B-36.wav', 'ESC-50-master/audio/2-141681-B-36.wav', 'ESC-50-master/audio/2-141681-B-36.wav', 'ESC-50-master/audio/2-141681-B-36.wav']","['vacuum_cleaner', 'vacuum_cleaner', 'vacuum_cleaner', 'vacuum_cleaner']"
How many different types of sounds can be identified in this recording?,81,TREA_dataset/count/audios/81.wav,4,3,5,6,A,"['ESC-50-master/audio/3-142006-A-10.wav', 'ESC-50-master/audio/1-23706-A-49.wav', 'ESC-50-master/audio/1-23706-A-49.wav', 'ESC-50-master/audio/1-88409-A-45.wav', 'ESC-50-master/audio/3-128512-A-47.wav']","['rain', 'hand_saw', 'hand_saw', 'train', 'airplane']"
How many unique types of sound are present in this audio?,82,TREA_dataset/count/audios/82.wav,2,4,3,1,A,"['ESC-50-master/audio/3-171281-A-6.wav', 'ESC-50-master/audio/3-171281-A-6.wav', 'ESC-50-master/audio/5-243773-B-44.wav', 'ESC-50-master/audio/5-243773-B-44.wav', 'ESC-50-master/audio/5-243773-B-44.wav']","['hen', 'hen', 'engine', 'engine', 'engine']"
Identify the count of different sound sources in this clip.,83,TREA_dataset/count/audios/83.wav,0,3,1,2,C,['ESC-50-master/audio/4-184575-A-0.wav'],['dog']
What is the total number of unique sounds heard in this audio?,84,TREA_dataset/count/audios/84.wav,3,0,1,2,C,['ESC-50-master/audio/4-207116-A-23.wav'],['breathing']
How many distinct sound categories are there in this audio file?,85,TREA_dataset/count/audios/85.wav,2,3,1,0,C,"['ESC-50-master/audio/5-191497-A-33.wav', 'ESC-50-master/audio/5-191497-A-33.wav', 'ESC-50-master/audio/5-191497-A-33.wav', 'ESC-50-master/audio/5-191497-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']"
Determine the number of unique sound sources in this recording.,86,TREA_dataset/count/audios/86.wav,2,1,0,3,B,"['ESC-50-master/audio/3-146965-A-5.wav', 'ESC-50-master/audio/3-146965-A-5.wav', 'ESC-50-master/audio/3-146965-A-5.wav']","['cat', 'cat', 'cat']"
How many separate sound sources are included in the audio?,87,TREA_dataset/count/audios/87.wav,3,4,1,2,D,"['ESC-50-master/audio/4-185619-A-21.wav', 'ESC-50-master/audio/4-185619-A-21.wav', 'ESC-50-master/audio/4-185619-A-21.wav', 'ESC-50-master/audio/3-172179-A-31.wav', 'ESC-50-master/audio/4-185619-A-21.wav']","['sneezing', 'sneezing', 'sneezing', 'mouse_click', 'sneezing']"
What is the total number of unique sound types in this audio?,88,TREA_dataset/count/audios/88.wav,3,0,1,2,C,"['ESC-50-master/audio/2-7321-A-33.wav', 'ESC-50-master/audio/2-7321-A-33.wav', 'ESC-50-master/audio/2-7321-A-33.wav', 'ESC-50-master/audio/2-7321-A-33.wav', 'ESC-50-master/audio/2-7321-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']"
How many different sound sources can be heard in this clip?,89,TREA_dataset/count/audios/89.wav,1,2,4,3,B,"['ESC-50-master/audio/2-83934-B-5.wav', 'ESC-50-master/audio/3-112356-A-18.wav', 'ESC-50-master/audio/2-83934-B-5.wav', 'ESC-50-master/audio/3-112356-A-18.wav']","['cat', 'toilet_flush', 'cat', 'toilet_flush']"
What is the number of distinct sound sources in the audio file?,90,TREA_dataset/count/audios/90.wav,5,3,2,4,B,"['ESC-50-master/audio/3-138114-A-22.wav', 'ESC-50-master/audio/3-138114-A-22.wav', 'ESC-50-master/audio/3-133977-A-29.wav', 'ESC-50-master/audio/3-138114-A-22.wav', 'ESC-50-master/audio/3-141240-A-44.wav']","['clapping', 'clapping', 'drinking_sipping', 'clapping', 'engine']"
How many different types of sounds can be identified in this recording?,91,TREA_dataset/count/audios/91.wav,3,0,2,1,D,['ESC-50-master/audio/2-30322-B-12.wav'],['crackling_fire']
How many unique types of sound are present in this audio?,92,TREA_dataset/count/audios/92.wav,4,3,2,1,C,"['ESC-50-master/audio/5-234247-A-37.wav', 'ESC-50-master/audio/3-119120-C-48.wav', 'ESC-50-master/audio/5-234247-A-37.wav']","['clock_alarm', 'fireworks', 'clock_alarm']"
Identify the count of different sound sources in this clip.,93,TREA_dataset/count/audios/93.wav,1,0,3,2,A,"['ESC-50-master/audio/1-101296-A-19.wav', 'ESC-50-master/audio/1-101296-A-19.wav', 'ESC-50-master/audio/1-101296-A-19.wav']","['thunderstorm', 'thunderstorm', 'thunderstorm']"
What is the total number of unique sounds heard in this audio?,94,TREA_dataset/count/audios/94.wav,1,3,0,2,A,['ESC-50-master/audio/2-106014-A-44.wav'],['engine']
How many distinct sound categories are there in this audio file?,95,TREA_dataset/count/audios/95.wav,0,1,2,3,B,['ESC-50-master/audio/3-152020-C-36.wav'],['vacuum_cleaner']
Determine the number of unique sound sources in this recording.,96,TREA_dataset/count/audios/96.wav,2,5,4,3,D,"['ESC-50-master/audio/4-144083-B-16.wav', 'ESC-50-master/audio/4-185415-A-21.wav', 'ESC-50-master/audio/4-185415-A-21.wav', 'ESC-50-master/audio/1-91359-B-11.wav']","['wind', 'sneezing', 'sneezing', 'sea_waves']"
How many separate sound sources are included in the audio?,97,TREA_dataset/count/audios/97.wav,3,4,1,2,D,"['ESC-50-master/audio/5-257349-A-15.wav', 'ESC-50-master/audio/1-79113-A-5.wav']","['water_drops', 'cat']"
What is the total number of unique sound types in this audio?,98,TREA_dataset/count/audios/98.wav,5,4,3,2,C,"['ESC-50-master/audio/3-130998-A-28.wav', 'ESC-50-master/audio/5-156999-E-19.wav', 'ESC-50-master/audio/5-156999-E-19.wav', 'ESC-50-master/audio/5-250629-A-37.wav', 'ESC-50-master/audio/3-130998-A-28.wav']","['snoring', 'thunderstorm', 'thunderstorm', 'clock_alarm', 'snoring']"
