id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
15,Which sound event occurs after washing_machine sound?,TREA_dataset/order/audios/15.wav,Coughing,Pig,Chirping birds,can_opening,D,"['ESC-50-master/audio/5-238021-A-35.wav', 'ESC-50-master/audio/4-188003-A-34.wav', 'ESC-50-master/audio/5-217186-A-16.wav', 'ESC-50-master/audio/4-161099-B-47.wav']","['washing_machine', 'can_opening', 'wind', 'airplane']"
16,Which sound event occurs after chirping_birds sound?,TREA_dataset/order/audios/16.wav,Water drops,Mouse click,sheep,Clock alarm,C,"['ESC-50-master/audio/4-223127-A-14.wav', 'ESC-50-master/audio/1-57795-A-8.wav', 'ESC-50-master/audio/1-62594-A-32.wav']","['chirping_birds', 'sheep', 'keyboard_typing']"
17,Which sound event occurs after crow sound?,TREA_dataset/order/audios/17.wav,Sneezing,Crickets,helicopter,Keyboard typing,C,"['ESC-50-master/audio/2-108767-A-9.wav', 'ESC-50-master/audio/4-175000-A-40.wav']","['crow', 'helicopter']"
18,Which sound event occurs third?,TREA_dataset/order/audios/18.wav,Brushing teeth,Washing machine,Helicopter,clock_tick,D,"['ESC-50-master/audio/5-156026-B-4.wav', 'ESC-50-master/audio/3-125418-A-24.wav', 'ESC-50-master/audio/5-209833-A-38.wav', 'ESC-50-master/audio/1-17295-A-29.wav']","['frog', 'coughing', 'clock_tick', 'drinking_sipping']"
19,Which sound event occurs after insects sound?,TREA_dataset/order/audios/19.wav,Mouse click,Cow,car_horn,Crying baby,C,"['ESC-50-master/audio/3-111102-B-46.wav', 'ESC-50-master/audio/3-110913-B-7.wav', 'ESC-50-master/audio/1-28808-A-43.wav', 'ESC-50-master/audio/3-148932-A-34.wav']","['church_bells', 'insects', 'car_horn', 'can_opening']"
20,Which sound event occurs second?,TREA_dataset/order/audios/20.wav,drinking_sipping,"Drinking, sipping",Can opening,Rain,A,"['ESC-50-master/audio/3-132852-A-10.wav', 'ESC-50-master/audio/5-204114-A-29.wav', 'ESC-50-master/audio/2-117271-A-0.wav']","['rain', 'drinking_sipping', 'dog']"
21,Which sound event occurs fourth?,TREA_dataset/order/audios/21.wav,Wind,Chirping birds,Thunderstorm,keyboard_typing,D,"['ESC-50-master/audio/5-263831-A-6.wav', 'ESC-50-master/audio/2-37806-A-40.wav', 'ESC-50-master/audio/2-104105-B-19.wav', 'ESC-50-master/audio/3-155570-A-32.wav']","['hen', 'helicopter', 'thunderstorm', 'keyboard_typing']"
22,Which sound event occurs second?,TREA_dataset/order/audios/22.wav,Thunderstorm,Sneezing,Toilet flush,hand_saw,D,"['ESC-50-master/audio/5-236299-A-34.wav', 'ESC-50-master/audio/1-18810-A-49.wav']","['can_opening', 'hand_saw']"
23,Which sound event occurs third?,TREA_dataset/order/audios/23.wav,Can opening,Crickets,rooster,Hand saw,C,"['ESC-50-master/audio/3-152007-E-20.wav', 'ESC-50-master/audio/3-167096-A-31.wav', 'ESC-50-master/audio/2-96460-A-1.wav', 'ESC-50-master/audio/1-46938-B-7.wav']","['crying_baby', 'mouse_click', 'rooster', 'insects']"
24,Which sound event occurs after vacuum_cleaner sound?,TREA_dataset/order/audios/24.wav,Train,Airplane,Car horn,cat,D,"['ESC-50-master/audio/1-46744-A-36.wav', 'ESC-50-master/audio/4-161303-B-5.wav']","['vacuum_cleaner', 'cat']"
25,Which sound event occurs first?,TREA_dataset/order/audios/25.wav,Helicopter,Breathing,Can opening,fireworks,D,"['ESC-50-master/audio/2-117615-A-48.wav', 'ESC-50-master/audio/2-130245-A-34.wav']","['fireworks', 'can_opening']"
26,Which sound event occurs first?,TREA_dataset/order/audios/26.wav,Snoring,Clapping,door_wood_knock,"Drinking, sipping",C,"['ESC-50-master/audio/5-218981-A-30.wav', 'ESC-50-master/audio/5-245040-A-35.wav', 'ESC-50-master/audio/4-164206-A-10.wav', 'ESC-50-master/audio/2-109371-D-16.wav']","['door_wood_knock', 'washing_machine', 'rain', 'wind']"
27,Which sound event occurs second?,TREA_dataset/order/audios/27.wav,Pig,Can opening,Coughing,church_bells,D,"['ESC-50-master/audio/3-119120-D-48.wav', 'ESC-50-master/audio/4-125825-B-46.wav', 'ESC-50-master/audio/3-259622-A-44.wav', 'ESC-50-master/audio/4-171207-A-12.wav']","['fireworks', 'church_bells', 'engine', 'crackling_fire']"
28,Which sound event occurs fourth?,TREA_dataset/order/audios/28.wav,Clock tick,Sheep,"Drinking, sipping",chirping_birds,D,"['ESC-50-master/audio/1-40621-A-28.wav', 'ESC-50-master/audio/3-110913-B-7.wav', 'ESC-50-master/audio/1-12654-A-15.wav', 'ESC-50-master/audio/5-243459-A-14.wav']","['snoring', 'insects', 'water_drops', 'chirping_birds']"
29,Which sound event occurs after clock_alarm sound?,TREA_dataset/order/audios/29.wav,dog,Insects (flying),Brushing teeth,Breathing,A,"['ESC-50-master/audio/1-38559-A-14.wav', 'ESC-50-master/audio/2-89516-A-37.wav', 'ESC-50-master/audio/1-32318-A-0.wav', 'ESC-50-master/audio/1-17970-A-4.wav']","['chirping_birds', 'clock_alarm', 'dog', 'frog']"
30,Which sound event occurs third?,TREA_dataset/order/audios/30.wav,water_drops,Crying baby,Cow,Mouse click,A,"['ESC-50-master/audio/3-70962-A-4.wav', 'ESC-50-master/audio/4-185613-A-32.wav', 'ESC-50-master/audio/2-64963-A-15.wav']","['frog', 'keyboard_typing', 'water_drops']"
31,Which sound event occurs after church_bells sound?,TREA_dataset/order/audios/31.wav,vacuum_cleaner,Wind,Thunderstorm,Helicopter,A,"['ESC-50-master/audio/2-196688-A-8.wav', 'ESC-50-master/audio/4-150364-B-46.wav', 'ESC-50-master/audio/4-172733-A-36.wav', 'ESC-50-master/audio/2-120218-B-30.wav']","['sheep', 'church_bells', 'vacuum_cleaner', 'door_wood_knock']"
32,Which sound event occurs after hen sound?,TREA_dataset/order/audios/32.wav,Clock alarm,Hand saw,Chainsaw,siren,D,"['ESC-50-master/audio/4-204830-A-6.wav', 'ESC-50-master/audio/3-62878-A-42.wav']","['hen', 'siren']"
33,Which sound event occurs first?,TREA_dataset/order/audios/33.wav,Thunderstorm,laughing,Breathing,Footsteps,B,"['ESC-50-master/audio/1-33658-A-26.wav', 'ESC-50-master/audio/1-85909-A-29.wav', 'ESC-50-master/audio/1-22804-A-46.wav']","['laughing', 'drinking_sipping', 'church_bells']"
34,Which sound event occurs first?,TREA_dataset/order/audios/34.wav,church_bells,Mouse click,Hand saw,Chirping birds,A,"['ESC-50-master/audio/2-78381-A-46.wav', 'ESC-50-master/audio/2-130978-A-21.wav', 'ESC-50-master/audio/2-157488-A-6.wav']","['church_bells', 'sneezing', 'hen']"
35,Which sound event occurs first?,TREA_dataset/order/audios/35.wav,snoring,Train,Dog,Pig,A,"['ESC-50-master/audio/3-124795-A-28.wav', 'ESC-50-master/audio/4-196671-B-8.wav', 'ESC-50-master/audio/2-96904-A-27.wav', 'ESC-50-master/audio/1-43760-A-11.wav']","['snoring', 'sheep', 'brushing_teeth', 'sea_waves']"
36,Which sound event occurs after hen sound?,TREA_dataset/order/audios/36.wav,Hen,Sneezing,Rooster,cow,D,"['ESC-50-master/audio/5-207811-A-35.wav', 'ESC-50-master/audio/1-18074-A-6.wav', 'ESC-50-master/audio/1-77160-A-3.wav']","['washing_machine', 'hen', 'cow']"
37,Which sound event occurs second?,TREA_dataset/order/audios/37.wav,Engine,Clock alarm,laughing,Breathing,C,"['ESC-50-master/audio/4-181286-A-10.wav', 'ESC-50-master/audio/4-167571-A-26.wav']","['rain', 'laughing']"
38,Which sound event occurs second?,TREA_dataset/order/audios/38.wav,Helicopter,cow,Dog,Laughing,B,"['ESC-50-master/audio/2-209473-A-25.wav', 'ESC-50-master/audio/4-174860-A-3.wav']","['footsteps', 'cow']"
39,Which sound event occurs first?,TREA_dataset/order/audios/39.wav,Mouse click,coughing,Can opening,Engine,B,"['ESC-50-master/audio/4-169726-A-24.wav', 'ESC-50-master/audio/3-134699-A-16.wav']","['coughing', 'wind']"
40,Which sound event occurs first?,TREA_dataset/order/audios/40.wav,engine,Can opening,Sea waves,Toilet flush,A,"['ESC-50-master/audio/4-201988-A-44.wav', 'ESC-50-master/audio/2-57191-A-46.wav', 'ESC-50-master/audio/2-102568-A-35.wav']","['engine', 'church_bells', 'washing_machine']"
41,Which sound event occurs first?,TREA_dataset/order/audios/41.wav,Siren,Hen,Helicopter,crickets,D,"['ESC-50-master/audio/5-210540-A-13.wav', 'ESC-50-master/audio/1-69422-A-3.wav', 'ESC-50-master/audio/3-131943-A-37.wav']","['crickets', 'cow', 'clock_alarm']"
42,Which sound event occurs after cow sound?,TREA_dataset/order/audios/42.wav,Car horn,Glass breaking,clock_alarm,Can opening,C,"['ESC-50-master/audio/4-213915-B-3.wav', 'ESC-50-master/audio/5-210612-A-37.wav']","['cow', 'clock_alarm']"
43,Which sound event occurs second?,TREA_dataset/order/audios/43.wav,Church bells,Coughing,cow,Engine,C,"['ESC-50-master/audio/2-73027-A-10.wav', 'ESC-50-master/audio/1-69641-A-3.wav', 'ESC-50-master/audio/5-234923-A-32.wav', 'ESC-50-master/audio/1-47819-C-5.wav']","['rain', 'cow', 'keyboard_typing', 'cat']"
44,Which sound event occurs second?,TREA_dataset/order/audios/44.wav,Engine,footsteps,Footsteps,Sneezing,B,"['ESC-50-master/audio/2-68595-B-15.wav', 'ESC-50-master/audio/5-263491-A-25.wav', 'ESC-50-master/audio/5-198278-C-7.wav', 'ESC-50-master/audio/1-19840-A-36.wav']","['water_drops', 'footsteps', 'insects', 'vacuum_cleaner']"
45,Which sound event occurs first?,TREA_dataset/order/audios/45.wav,Sneezing,cat,Footsteps,Crying baby,B,"['ESC-50-master/audio/5-214759-A-5.wav', 'ESC-50-master/audio/5-242932-A-26.wav', 'ESC-50-master/audio/3-51909-B-42.wav', 'ESC-50-master/audio/3-117793-A-37.wav']","['cat', 'laughing', 'siren', 'clock_alarm']"
46,Which sound event occurs second?,TREA_dataset/order/audios/46.wav,Cat,Can opening,train,Vacuum cleaner,C,"['ESC-50-master/audio/3-51909-B-42.wav', 'ESC-50-master/audio/2-262579-A-45.wav']","['siren', 'train']"
47,Which sound event occurs after footsteps sound?,TREA_dataset/order/audios/47.wav,Footsteps,Door knock,sheep,Brushing teeth,C,"['ESC-50-master/audio/3-103599-B-25.wav', 'ESC-50-master/audio/4-196671-B-8.wav', 'ESC-50-master/audio/3-51909-B-42.wav']","['footsteps', 'sheep', 'siren']"
48,Which sound event occurs second?,TREA_dataset/order/audios/48.wav,Insects (flying),drinking_sipping,Train,Dog,B,"['ESC-50-master/audio/5-9032-A-0.wav', 'ESC-50-master/audio/5-207836-D-29.wav']","['dog', 'drinking_sipping']"
49,Which sound event occurs first?,TREA_dataset/order/audios/49.wav,frog,"Drinking, sipping",Coughing,Glass breaking,A,"['ESC-50-master/audio/2-52085-A-4.wav', 'ESC-50-master/audio/5-221878-A-34.wav']","['frog', 'can_opening']"
50,Which sound event occurs second?,TREA_dataset/order/audios/50.wav,Rooster,clapping,Dog,Crickets,B,"['ESC-50-master/audio/2-196688-A-8.wav', 'ESC-50-master/audio/3-197435-B-22.wav', 'ESC-50-master/audio/3-70962-B-4.wav']","['sheep', 'clapping', 'frog']"
51,Which sound event occurs second?,TREA_dataset/order/audios/51.wav,Laughing,Sheep,Glass breaking,can_opening,D,"['ESC-50-master/audio/3-130998-A-28.wav', 'ESC-50-master/audio/5-260011-A-34.wav']","['snoring', 'can_opening']"
52,Which sound event occurs second?,TREA_dataset/order/audios/52.wav,Cow,Hen,dog,Thunderstorm,C,"['ESC-50-master/audio/3-103401-B-33.wav', 'ESC-50-master/audio/1-85362-A-0.wav', 'ESC-50-master/audio/2-43802-A-42.wav', 'ESC-50-master/audio/3-135469-A-35.wav']","['door_wood_creaks', 'dog', 'siren', 'washing_machine']"
53,Which sound event occurs second?,TREA_dataset/order/audios/53.wav,Toilet flush,airplane,Insects (flying),Door knock,B,"['ESC-50-master/audio/5-248341-A-6.wav', 'ESC-50-master/audio/2-106849-A-47.wav']","['hen', 'airplane']"
54,Which sound event occurs second?,TREA_dataset/order/audios/54.wav,Rooster,Chainsaw,Keyboard typing,clock_tick,D,"['ESC-50-master/audio/3-92637-A-18.wav', 'ESC-50-master/audio/2-140147-A-38.wav', 'ESC-50-master/audio/3-129338-A-13.wav']","['toilet_flush', 'clock_tick', 'crickets']"
55,Which sound event occurs third?,TREA_dataset/order/audios/55.wav,Crying baby,cow,Crow,Toilet flush,B,"['ESC-50-master/audio/4-201800-A-31.wav', 'ESC-50-master/audio/3-117504-B-16.wav', 'ESC-50-master/audio/1-58277-A-3.wav', 'ESC-50-master/audio/1-34094-A-5.wav']","['mouse_click', 'wind', 'cow', 'cat']"
56,Which sound event occurs first?,TREA_dataset/order/audios/56.wav,hand_saw,Wind,Door knock,Insects (flying),A,"['ESC-50-master/audio/3-102583-A-49.wav', 'ESC-50-master/audio/2-119161-A-8.wav', 'ESC-50-master/audio/4-175000-B-40.wav']","['hand_saw', 'sheep', 'helicopter']"
57,Which sound event occurs first?,TREA_dataset/order/audios/57.wav,Toilet flush,Sheep,Footsteps,train,D,"['ESC-50-master/audio/1-88409-B-45.wav', 'ESC-50-master/audio/1-58923-B-27.wav', 'ESC-50-master/audio/2-102567-B-35.wav', 'ESC-50-master/audio/5-208030-A-0.wav']","['train', 'brushing_teeth', 'washing_machine', 'dog']"
58,Which sound event occurs second?,TREA_dataset/order/audios/58.wav,Helicopter,Toilet flush,Fireworks,clock_alarm,D,"['ESC-50-master/audio/5-234335-A-23.wav', 'ESC-50-master/audio/2-104475-A-37.wav']","['breathing', 'clock_alarm']"
59,Which sound event occurs after sheep sound?,TREA_dataset/order/audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['ESC-50-master/audio/3-20861-A-8.wav', 'ESC-50-master/audio/1-208757-C-2.wav', 'ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']"
60,Which sound event occurs after car_horn sound?,TREA_dataset/order/audios/60.wav,Cat,Train,water_drops,Pig,C,"['ESC-50-master/audio/1-26177-A-43.wav', 'ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']"
61,Which sound event occurs first?,TREA_dataset/order/audios/61.wav,laughing,Rain,Airplane,Can opening,A,"['ESC-50-master/audio/2-79775-A-26.wav', 'ESC-50-master/audio/2-112213-B-39.wav', 'ESC-50-master/audio/2-74361-A-47.wav', 'ESC-50-master/audio/4-145081-A-9.wav']","['laughing', 'glass_breaking', 'airplane', 'crow']"
62,Which sound event occurs after sea_waves sound?,TREA_dataset/order/audios/62.wav,airplane,Clock tick,Crickets,Cow,A,"['ESC-50-master/audio/3-164630-A-11.wav', 'ESC-50-master/audio/4-161100-A-47.wav']","['sea_waves', 'airplane']"
63,Which sound event occurs second?,TREA_dataset/order/audios/63.wav,Crackling fire,Dog,Mouse click,water_drops,D,"['ESC-50-master/audio/1-43807-D-47.wav', 'ESC-50-master/audio/4-168155-A-15.wav', 'ESC-50-master/audio/1-50688-A-17.wav', 'ESC-50-master/audio/4-180380-A-10.wav']","['airplane', 'water_drops', 'pouring_water', 'rain']"
64,Which sound event occurs first?,TREA_dataset/order/audios/64.wav,Engine,crackling_fire,Chainsaw,Car horn,B,"['ESC-50-master/audio/3-158476-A-12.wav', 'ESC-50-master/audio/3-144259-A-29.wav']","['crackling_fire', 'drinking_sipping']"
65,Which sound event occurs first?,TREA_dataset/order/audios/65.wav,chirping_birds,Vacuum cleaner,Cat,Coughing,A,"['ESC-50-master/audio/2-72547-A-14.wav', 'ESC-50-master/audio/4-164064-A-1.wav']","['chirping_birds', 'rooster']"
66,Which sound event occurs second?,TREA_dataset/order/audios/66.wav,Cat,Crow,Clock tick,frog,D,"['ESC-50-master/audio/3-108451-B-17.wav', 'ESC-50-master/audio/3-71964-C-4.wav', 'ESC-50-master/audio/5-250258-A-49.wav']","['pouring_water', 'frog', 'hand_saw']"
67,Which sound event occurs after can_opening sound?,TREA_dataset/order/audios/67.wav,sneezing,Siren,"Drinking, sipping",Clock alarm,A,"['ESC-50-master/audio/1-19026-A-43.wav', 'ESC-50-master/audio/1-69165-A-34.wav', 'ESC-50-master/audio/3-141684-A-21.wav']","['car_horn', 'can_opening', 'sneezing']"
68,Which sound event occurs second?,TREA_dataset/order/audios/68.wav,"Drinking, sipping",Glass breaking,Train,wind,D,"['ESC-50-master/audio/1-34853-A-37.wav', 'ESC-50-master/audio/1-51037-A-16.wav']","['clock_alarm', 'wind']"
69,Which sound event occurs third?,TREA_dataset/order/audios/69.wav,Laughing,"Door, wood creaks",Car horn,church_bells,D,"['ESC-50-master/audio/4-154405-B-27.wav', 'ESC-50-master/audio/5-254160-A-22.wav', 'ESC-50-master/audio/5-179294-A-46.wav', 'ESC-50-master/audio/1-60997-B-20.wav']","['brushing_teeth', 'clapping', 'church_bells', 'crying_baby']"
70,Which sound event occurs after vacuum_cleaner sound?,TREA_dataset/order/audios/70.wav,crackling_fire,Helicopter,Hen,Fireworks,A,"['ESC-50-master/audio/1-19840-A-36.wav', 'ESC-50-master/audio/4-170247-B-12.wav', 'ESC-50-master/audio/1-137296-A-16.wav']","['vacuum_cleaner', 'crackling_fire', 'wind']"
71,Which sound event occurs second?,TREA_dataset/order/audios/71.wav,Chirping birds,"Door, wood creaks",Sea waves,car_horn,D,"['ESC-50-master/audio/2-83667-A-34.wav', 'ESC-50-master/audio/3-243726-A-43.wav', 'ESC-50-master/audio/4-147657-A-46.wav', 'ESC-50-master/audio/1-43807-B-47.wav']","['can_opening', 'car_horn', 'church_bells', 'airplane']"
72,Which sound event occurs second?,TREA_dataset/order/audios/72.wav,Brushing teeth,glass_breaking,Fireworks,Pouring water,B,"['ESC-50-master/audio/1-81883-A-21.wav', 'ESC-50-master/audio/3-203375-A-39.wav', 'ESC-50-master/audio/5-151085-A-20.wav', 'ESC-50-master/audio/3-51909-A-42.wav']","['sneezing', 'glass_breaking', 'crying_baby', 'siren']"
73,Which sound event occurs first?,TREA_dataset/order/audios/73.wav,Snoring,Pouring water,laughing,Crackling fire,C,"['ESC-50-master/audio/3-118487-A-26.wav', 'ESC-50-master/audio/5-198411-C-20.wav', 'ESC-50-master/audio/2-209471-A-25.wav', 'ESC-50-master/audio/2-106487-A-44.wav']","['laughing', 'crying_baby', 'footsteps', 'engine']"
74,Which sound event occurs after coughing sound?,TREA_dataset/order/audios/74.wav,Crickets,Clapping,car_horn,Clock tick,C,"['ESC-50-master/audio/2-70052-B-42.wav', 'ESC-50-master/audio/5-251489-A-24.wav', 'ESC-50-master/audio/5-179868-A-43.wav']","['siren', 'coughing', 'car_horn']"
75,Which sound event occurs second?,TREA_dataset/order/audios/75.wav,Coughing,Crickets,Glass breaking,washing_machine,D,"['ESC-50-master/audio/3-103599-B-25.wav', 'ESC-50-master/audio/3-151273-A-35.wav', 'ESC-50-master/audio/2-118964-A-0.wav']","['footsteps', 'washing_machine', 'dog']"
76,Which sound event occurs first?,TREA_dataset/order/audios/76.wav,Water drops,clock_alarm,Hand saw,Sheep,B,"['ESC-50-master/audio/3-131943-A-37.wav', 'ESC-50-master/audio/4-191327-A-38.wav', 'ESC-50-master/audio/4-165823-A-41.wav']","['clock_alarm', 'clock_tick', 'chainsaw']"
77,Which sound event occurs second?,TREA_dataset/order/audios/77.wav,Breathing,crickets,Church bells,Laughing,B,"['ESC-50-master/audio/4-178402-A-43.wav', 'ESC-50-master/audio/2-125821-A-13.wav', 'ESC-50-master/audio/1-84393-A-32.wav']","['car_horn', 'crickets', 'keyboard_typing']"
78,Which sound event occurs after siren sound?,TREA_dataset/order/audios/78.wav,helicopter,Can opening,"Door, wood creaks",Fireworks,A,"['ESC-50-master/audio/5-244178-A-32.wav', 'ESC-50-master/audio/3-58772-A-42.wav', 'ESC-50-master/audio/1-172649-F-40.wav']","['keyboard_typing', 'siren', 'helicopter']"
79,Which sound event occurs first?,TREA_dataset/order/audios/79.wav,Church bells,Toilet flush,car_horn,Crickets,C,"['ESC-50-master/audio/2-42101-A-43.wav', 'ESC-50-master/audio/2-39443-B-19.wav']","['car_horn', 'thunderstorm']"
80,Which sound event occurs first?,TREA_dataset/order/audios/80.wav,Car horn,"Door, wood creaks",Crow,rooster,D,"['ESC-50-master/audio/2-96460-A-1.wav', 'ESC-50-master/audio/4-250869-B-2.wav']","['rooster', 'pig']"
81,Which sound event occurs fourth?,TREA_dataset/order/audios/81.wav,Chainsaw,Fireworks,Crying baby,laughing,D,"['ESC-50-master/audio/5-253094-D-49.wav', 'ESC-50-master/audio/2-32834-A-4.wav', 'ESC-50-master/audio/4-188191-A-29.wav', 'ESC-50-master/audio/4-181599-A-26.wav']","['hand_saw', 'frog', 'drinking_sipping', 'laughing']"
82,Which sound event occurs third?,TREA_dataset/order/audios/82.wav,Insects (flying),"Door, wood creaks",chainsaw,Footsteps,C,"['ESC-50-master/audio/1-12653-A-15.wav', 'ESC-50-master/audio/1-96950-A-9.wav', 'ESC-50-master/audio/4-157611-B-41.wav']","['water_drops', 'crow', 'chainsaw']"
83,Which sound event occurs second?,TREA_dataset/order/audios/83.wav,Crying baby,"Door, wood creaks",Helicopter,engine,D,"['ESC-50-master/audio/5-200461-B-11.wav', 'ESC-50-master/audio/4-186962-A-44.wav']","['sea_waves', 'engine']"
84,Which sound event occurs second?,TREA_dataset/order/audios/84.wav,Washing machine,water_drops,Pig,Frog,B,"['ESC-50-master/audio/1-49098-A-35.wav', 'ESC-50-master/audio/4-212604-A-15.wav']","['washing_machine', 'water_drops']"
85,Which sound event occurs first?,TREA_dataset/order/audios/85.wav,Mouse click,Hand saw,drinking_sipping,Clock alarm,C,"['ESC-50-master/audio/5-207836-A-29.wav', 'ESC-50-master/audio/5-133989-A-42.wav']","['drinking_sipping', 'siren']"
86,Which sound event occurs fourth?,TREA_dataset/order/audios/86.wav,Snoring,glass_breaking,Airplane,Chirping birds,B,"['ESC-50-master/audio/5-151085-A-20.wav', 'ESC-50-master/audio/4-119647-D-48.wav', 'ESC-50-master/audio/5-235874-A-28.wav', 'ESC-50-master/audio/4-204777-A-39.wav']","['crying_baby', 'fireworks', 'snoring', 'glass_breaking']"
87,Which sound event occurs second?,TREA_dataset/order/audios/87.wav,Hen,Car horn,Crying baby,door_wood_knock,D,"['ESC-50-master/audio/4-161105-A-47.wav', 'ESC-50-master/audio/3-144510-A-30.wav']","['airplane', 'door_wood_knock']"
88,Which sound event occurs second?,TREA_dataset/order/audios/88.wav,pouring_water,Siren,Crying baby,Clock alarm,A,"['ESC-50-master/audio/5-177957-B-40.wav', 'ESC-50-master/audio/4-187504-B-17.wav']","['helicopter', 'pouring_water']"
