question,id,audio_path,optionA,optionB,optionC,optionD,correct
Which of the given sounds is heard for the least amount of time?,94,TREA_dataset/duration/audios/94.wav,dog,keyboard_typing,cow,washing_machine,C
Which sound among the following is the shortest in duration?,95,TREA_dataset/duration/audios/95.wav,washing_machine,thunderstorm,church_bells,mouse_click,A
Which sound among the following is the shortest in duration?,96,TREA_dataset/duration/audios/96.wav,vacuum_cleaner,siren,engine,thunderstorm,B
Which of these sounds has the longest duration?,97,TREA_dataset/duration/audios/97.wav,washing_machine,cow,dog,crow,C
Which of these sounds has the longest duration?,98,TREA_dataset/duration/audios/98.wav,breathing,dog,washing_machine,hand_saw,D
Which sound among the following is heard for the greatest length of time?,99,TREA_dataset/duration/audios/99.wav,sheep,clapping,door_wood_creaks,crickets,A
Which of the given sounds is heard for the least amount of time?,100,TREA_dataset/duration/audios/100.wav,can_opening,crow,keyboard_typing,rain,C
Which of the given sounds is heard for the least amount of time?,101,TREA_dataset/duration/audios/101.wav,engine,rain,thunderstorm,siren,A
Which of the following sounds lasts for the shortest time?,102,TREA_dataset/duration/audios/102.wav,crickets,engine,chirping_birds,crackling_fire,C
Which sound among the following is the shortest in duration?,103,TREA_dataset/duration/audios/103.wav,clock_tick,frog,footsteps,wind,D
Which sound among the following is the shortest in duration?,104,TREA_dataset/duration/audios/104.wav,snoring,sea_waves,drinking_sipping,washing_machine,D
Which of the following sounds lasts for the shortest time?,105,TREA_dataset/duration/audios/105.wav,crickets,pig,toilet_flush,church_bells,D
Which of the following sounds lasts for the shortest time?,106,TREA_dataset/duration/audios/106.wav,insects,sneezing,clock_alarm,train,B
Which sound among the following is heard for the longest time?,107,TREA_dataset/duration/audios/107.wav,washing_machine,rain,door_wood_knock,brushing_teeth,D
Which of the following sounds lasts for the shortest time?,108,TREA_dataset/duration/audios/108.wav,laughing,glass_breaking,helicopter,fireworks,A
Which of these sounds has the longest duration?,109,TREA_dataset/duration/audios/109.wav,hand_saw,helicopter,insects,rain,A
Which of the following sounds lasts for the shortest time?,110,TREA_dataset/duration/audios/110.wav,cat,clock_tick,breathing,laughing,C
Which of the following sounds lasts for the shortest time?,111,TREA_dataset/duration/audios/111.wav,cow,door_wood_knock,airplane,footsteps,D
Which sound among the following is heard for the greatest length of time?,112,TREA_dataset/duration/audios/112.wav,clock_alarm,chainsaw,sheep,crow,C
Which sound among the following is the shortest in duration?,113,TREA_dataset/duration/audios/113.wav,breathing,crying_baby,frog,vacuum_cleaner,B
Which of these sounds has the longest duration?,114,TREA_dataset/duration/audios/114.wav,cat,door_wood_knock,cow,breathing,A
Which sound among the following is the shortest in duration?,115,TREA_dataset/duration/audios/115.wav,dog,snoring,rooster,sneezing,A
Which of the given sounds is heard for the least amount of time?,116,TREA_dataset/duration/audios/116.wav,rain,wind,train,hen,B
Which sound among the following is heard for the longest time?,117,TREA_dataset/duration/audios/117.wav,pig,washing_machine,coughing,keyboard_typing,D
Which sound among the following is heard for the longest time?,118,TREA_dataset/duration/audios/118.wav,hen,washing_machine,can_opening,snoring,A
Which sound among the following is the shortest in duration?,119,TREA_dataset/duration/audios/119.wav,coughing,engine,sheep,sea_waves,A
Which sound among the following is heard for the greatest length of time?,120,TREA_dataset/duration/audios/120.wav,crow,door_wood_knock,keyboard_typing,washing_machine,D
Which sound among the following is heard for the greatest length of time?,121,TREA_dataset/duration/audios/121.wav,keyboard_typing,siren,crickets,train,A
Which of the given sounds is heard for the least amount of time?,122,TREA_dataset/duration/audios/122.wav,fireworks,toilet_flush,siren,hen,A
Which of the given sounds is heard for the least amount of time?,123,TREA_dataset/duration/audios/123.wav,thunderstorm,clock_tick,sheep,rooster,B
Which of these sounds has the longest duration?,124,TREA_dataset/duration/audios/124.wav,car_horn,laughing,chirping_birds,vacuum_cleaner,C
Which sound among the following is the shortest in duration?,125,TREA_dataset/duration/audios/125.wav,brushing_teeth,door_wood_creaks,can_opening,fireworks,C
Which sound among the following is heard for the longest time?,126,TREA_dataset/duration/audios/126.wav,church_bells,train,clock_alarm,chirping_birds,A
Which sound among the following is heard for the greatest length of time?,127,TREA_dataset/duration/audios/127.wav,clapping,pig,engine,hen,D
Which sound among the following is heard for the greatest length of time?,128,TREA_dataset/duration/audios/128.wav,sea_waves,coughing,airplane,crow,C
Which sound among the following is heard for the longest time?,129,TREA_dataset/duration/audios/129.wav,chirping_birds,crying_baby,church_bells,brushing_teeth,C
Which of the given sounds is heard for the least amount of time?,130,TREA_dataset/duration/audios/130.wav,siren,helicopter,sneezing,mouse_click,A
Which of the following sounds lasts for the shortest time?,131,TREA_dataset/duration/audios/131.wav,engine,footsteps,wind,breathing,A
Which of the following sounds lasts for the shortest time?,132,TREA_dataset/duration/audios/132.wav,keyboard_typing,cow,rooster,crow,D
Which sound among the following is heard for the longest time?,133,TREA_dataset/duration/audios/133.wav,crying_baby,siren,engine,train,A
Which sound among the following is heard for the longest time?,134,TREA_dataset/duration/audios/134.wav,church_bells,footsteps,cow,rooster,A
Which sound among the following is heard for the longest time?,135,TREA_dataset/duration/audios/135.wav,sea_waves,hand_saw,crackling_fire,clock_tick,B
Which of the given sounds is heard for the least amount of time?,136,TREA_dataset/duration/audios/136.wav,car_horn,chainsaw,snoring,helicopter,A
Which sound among the following is heard for the longest time?,137,TREA_dataset/duration/audios/137.wav,footsteps,hand_saw,drinking_sipping,crackling_fire,A
Which of the following sounds lasts for the shortest time?,138,TREA_dataset/duration/audios/138.wav,door_wood_knock,train,door_wood_creaks,keyboard_typing,A
Which of the following sounds lasts for the shortest time?,139,TREA_dataset/duration/audios/139.wav,wind,door_wood_creaks,can_opening,laughing,A
Which sound among the following is heard for the greatest length of time?,140,TREA_dataset/duration/audios/140.wav,fireworks,pouring_water,engine,church_bells,C
Which sound among the following is heard for the longest time?,141,TREA_dataset/duration/audios/141.wav,cat,wind,crackling_fire,door_wood_creaks,A
Which of the following sounds lasts for the shortest time?,142,TREA_dataset/duration/audios/142.wav,door_wood_creaks,wind,sea_waves,hen,B
Which of these sounds has the longest duration?,143,TREA_dataset/duration/audios/143.wav,snoring,footsteps,sheep,cat,A
Which sound among the following is heard for the longest time?,144,TREA_dataset/duration/audios/144.wav,clock_tick,crickets,airplane,cat,B
Which of these sounds has the longest duration?,145,TREA_dataset/duration/audios/145.wav,door_wood_creaks,rain,breathing,train,B
Which sound among the following is heard for the longest time?,146,TREA_dataset/duration/audios/146.wav,siren,crackling_fire,insects,wind,C
Which of these sounds has the longest duration?,147,TREA_dataset/duration/audios/147.wav,frog,door_wood_creaks,vacuum_cleaner,pig,C
Which sound among the following is heard for the longest time?,148,TREA_dataset/duration/audios/148.wav,wind,crackling_fire,hen,clock_tick,C
Which sound among the following is heard for the longest time?,149,TREA_dataset/duration/audios/149.wav,crying_baby,pouring_water,washing_machine,laughing,A
Which sound among the following is the shortest in duration?,150,TREA_dataset/duration/audios/150.wav,crying_baby,drinking_sipping,brushing_teeth,washing_machine,B
Which of these sounds has the longest duration?,151,TREA_dataset/duration/audios/151.wav,church_bells,thunderstorm,crow,toilet_flush,A
Which sound among the following is heard for the longest time?,152,TREA_dataset/duration/audios/152.wav,church_bells,crow,car_horn,helicopter,A
Which of the following sounds lasts for the shortest time?,153,TREA_dataset/duration/audios/153.wav,can_opening,crackling_fire,clock_tick,cow,A
Which of the given sounds is heard for the least amount of time?,154,TREA_dataset/duration/audios/154.wav,hand_saw,car_horn,crow,crying_baby,A
Which of the following sounds lasts for the shortest time?,155,TREA_dataset/duration/audios/155.wav,footsteps,cow,pig,crying_baby,B
Which of these sounds has the longest duration?,156,TREA_dataset/duration/audios/156.wav,siren,clapping,crackling_fire,snoring,C
Which of these sounds has the longest duration?,157,TREA_dataset/duration/audios/157.wav,hand_saw,breathing,clock_tick,clapping,D
Which of these sounds has the longest duration?,158,TREA_dataset/duration/audios/158.wav,crackling_fire,cat,cow,keyboard_typing,A
Which of the given sounds is heard for the least amount of time?,159,TREA_dataset/duration/audios/159.wav,footsteps,door_wood_creaks,keyboard_typing,wind,A
Which sound among the following is heard for the longest time?,160,TREA_dataset/duration/audios/160.wav,snoring,insects,clapping,pig,B
Which of the following sounds lasts for the shortest time?,161,TREA_dataset/duration/audios/161.wav,clock_alarm,sheep,breathing,rooster,C
Which of the given sounds is heard for the least amount of time?,162,TREA_dataset/duration/audios/162.wav,coughing,fireworks,sea_waves,thunderstorm,B
Which sound among the following is the shortest in duration?,163,TREA_dataset/duration/audios/163.wav,clock_alarm,breathing,brushing_teeth,rooster,A
Which of the following sounds lasts for the shortest time?,164,TREA_dataset/duration/audios/164.wav,dog,footsteps,crickets,glass_breaking,D
Which of the following sounds lasts for the shortest time?,165,TREA_dataset/duration/audios/165.wav,glass_breaking,crying_baby,laughing,wind,A
Which sound among the following is the shortest in duration?,166,TREA_dataset/duration/audios/166.wav,pouring_water,sneezing,keyboard_typing,sea_waves,D
Which sound among the following is the shortest in duration?,167,TREA_dataset/duration/audios/167.wav,breathing,crying_baby,rain,brushing_teeth,D
Which of the following sounds lasts for the shortest time?,168,TREA_dataset/duration/audios/168.wav,clock_alarm,cow,keyboard_typing,drinking_sipping,D
Which of the given sounds is heard for the least amount of time?,169,TREA_dataset/duration/audios/169.wav,clapping,pouring_water,church_bells,insects,B
Which of the following sounds lasts for the shortest time?,170,TREA_dataset/duration/audios/170.wav,sea_waves,laughing,clock_alarm,engine,C
Which of these sounds has the longest duration?,171,TREA_dataset/duration/audios/171.wav,crying_baby,clapping,breathing,cat,B
Which of these sounds has the longest duration?,172,TREA_dataset/duration/audios/172.wav,insects,breathing,door_wood_creaks,thunderstorm,C
Which of the following sounds lasts for the shortest time?,173,TREA_dataset/duration/audios/173.wav,crow,sneezing,insects,chirping_birds,B
Which sound among the following is the shortest in duration?,174,TREA_dataset/duration/audios/174.wav,sneezing,pouring_water,drinking_sipping,wind,A
Which sound among the following is heard for the longest time?,175,TREA_dataset/duration/audios/175.wav,cow,glass_breaking,sea_waves,siren,A
Which of the following sounds lasts for the shortest time?,176,TREA_dataset/duration/audios/176.wav,rooster,crickets,door_wood_creaks,dog,C
Which sound among the following is heard for the greatest length of time?,177,TREA_dataset/duration/audios/177.wav,vacuum_cleaner,sea_waves,rain,drinking_sipping,D
Which of the given sounds is heard for the least amount of time?,178,TREA_dataset/duration/audios/178.wav,sheep,insects,wind,laughing,D
Which sound among the following is heard for the longest time?,179,TREA_dataset/duration/audios/179.wav,wind,coughing,sea_waves,water_drops,A
Which sound among the following is the shortest in duration?,180,TREA_dataset/duration/audios/180.wav,hand_saw,car_horn,frog,footsteps,B
Which sound among the following is heard for the longest time?,181,TREA_dataset/duration/audios/181.wav,frog,sheep,door_wood_creaks,water_drops,B
Which of these sounds has the longest duration?,182,TREA_dataset/duration/audios/182.wav,cow,sheep,clock_alarm,snoring,D
Which sound among the following is the shortest in duration?,183,TREA_dataset/duration/audios/183.wav,airplane,cow,crickets,pouring_water,B
Which sound among the following is heard for the greatest length of time?,184,TREA_dataset/duration/audios/184.wav,chirping_birds,coughing,hand_saw,fireworks,C
Which of the given sounds is heard for the least amount of time?,185,TREA_dataset/duration/audios/185.wav,car_horn,dog,glass_breaking,rooster,A
Which sound among the following is heard for the longest time?,186,TREA_dataset/duration/audios/186.wav,helicopter,insects,brushing_teeth,airplane,D
Which sound among the following is the shortest in duration?,187,TREA_dataset/duration/audios/187.wav,laughing,sheep,car_horn,frog,A
Which of these sounds has the longest duration?,188,TREA_dataset/duration/audios/188.wav,wind,thunderstorm,airplane,pouring_water,B
Which of the following sounds lasts for the shortest time?,189,TREA_dataset/duration/audios/189.wav,hen,water_drops,pig,crying_baby,C
Which of the following sounds lasts for the shortest time?,190,TREA_dataset/duration/audios/190.wav,crow,chirping_birds,door_wood_creaks,hand_saw,A
Which sound among the following is heard for the longest time?,191,TREA_dataset/duration/audios/191.wav,snoring,insects,clock_alarm,crackling_fire,A
Which of the following sounds lasts for the shortest time?,192,TREA_dataset/duration/audios/192.wav,glass_breaking,wind,engine,crackling_fire,D
Which sound among the following is heard for the greatest length of time?,193,TREA_dataset/duration/audios/193.wav,cat,clock_alarm,sheep,snoring,B
Which of these sounds has the longest duration?,194,TREA_dataset/duration/audios/194.wav,airplane,pig,breathing,door_wood_creaks,C
Which of the following sounds lasts for the shortest time?,195,TREA_dataset/duration/audios/195.wav,crickets,airplane,train,cow,D
Which of the following sounds lasts for the shortest time?,196,TREA_dataset/duration/audios/196.wav,crying_baby,train,clock_tick,keyboard_typing,B
Which sound among the following is heard for the longest time?,197,TREA_dataset/duration/audios/197.wav,helicopter,crickets,sheep,frog,D
Which sound among the following is the shortest in duration?,198,TREA_dataset/duration/audios/198.wav,brushing_teeth,dog,can_opening,footsteps,A
Which of the following sounds lasts for the shortest time?,199,TREA_dataset/duration/audios/199.wav,crow,crickets,brushing_teeth,coughing,B
