id,audio_path,question,optionA,optionB,optionC,optionD,correct,ordering_method,audioabsent_optionspresent_num,audiopath_list,cat_mapping
10,TREA_dataset/duration/audios/10.wav,Which of the given sounds is heard for the least amount of time?,breathing,can_opening,clock_alarm,crickets,B,consec,3,"['ESC-50-master/audio/3-95695-B-5.wav', 'ESC-50-master/audio/3-95695-B-5.wav', 'ESC-50-master/audio/1-68670-A-34.wav', 'ESC-50-master/audio/4-132383-A-2.wav', 'ESC-50-master/audio/4-132383-A-2.wav']","{'cat': 'ESC-50-master/audio/3-95695-B-5.wav', 'can_opening': 'ESC-50-master/audio/1-68670-A-34.wav', 'pig': 'ESC-50-master/audio/4-132383-A-2.wav'}"
11,TREA_dataset/duration/audios/11.wav,Which of the following sounds lasts for the shortest time?,dog,clock_tick,vacuum_cleaner,chirping_birds,B,consec,1,"['ESC-50-master/audio/3-152020-A-36.wav', 'ESC-50-master/audio/3-152020-A-36.wav', 'ESC-50-master/audio/2-108761-A-14.wav', 'ESC-50-master/audio/2-108761-A-14.wav', 'ESC-50-master/audio/3-171041-A-38.wav']","{'vacuum_cleaner': 'ESC-50-master/audio/3-152020-A-36.wav', 'chirping_birds': 'ESC-50-master/audio/2-108761-A-14.wav', 'clock_tick': 'ESC-50-master/audio/3-171041-A-38.wav'}"
12,TREA_dataset/duration/audios/12.wav,Which sound among the following is heard for the greatest length of time?,glass_breaking,church_bells,chainsaw,sea_waves,B,random,3,"['ESC-50-master/audio/2-59565-A-46.wav', 'ESC-50-master/audio/1-29532-A-16.wav', 'ESC-50-master/audio/2-59565-A-46.wav', 'ESC-50-master/audio/2-117615-E-48.wav', 'ESC-50-master/audio/2-59565-A-46.wav']","{'fireworks': 'ESC-50-master/audio/2-117615-E-48.wav', 'wind': 'ESC-50-master/audio/1-29532-A-16.wav', 'church_bells': 'ESC-50-master/audio/2-59565-A-46.wav'}"
13,TREA_dataset/duration/audios/13.wav,Which of these sounds has the longest duration?,sheep,train,can_opening,breathing,A,consec,1,"['ESC-50-master/audio/5-237795-A-34.wav', 'ESC-50-master/audio/4-188703-D-8.wav', 'ESC-50-master/audio/4-188703-D-8.wav', 'ESC-50-master/audio/4-188703-D-8.wav', 'ESC-50-master/audio/5-260164-A-23.wav']","{'can_opening': 'ESC-50-master/audio/5-237795-A-34.wav', 'sheep': 'ESC-50-master/audio/4-188703-D-8.wav', 'breathing': 'ESC-50-master/audio/5-260164-A-23.wav'}"
14,TREA_dataset/duration/audios/14.wav,Which sound among the following is heard for the longest time?,wind,snoring,toilet_flush,chirping_birds,C,consec,2,"['ESC-50-master/audio/2-65484-A-18.wav', 'ESC-50-master/audio/2-65484-A-18.wav', 'ESC-50-master/audio/2-65484-A-18.wav', 'ESC-50-master/audio/2-109371-A-16.wav', 'ESC-50-master/audio/1-31482-B-42.wav']","{'toilet_flush': 'ESC-50-master/audio/2-65484-A-18.wav', 'wind': 'ESC-50-master/audio/2-109371-A-16.wav', 'siren': 'ESC-50-master/audio/1-31482-B-42.wav'}"
15,TREA_dataset/duration/audios/15.wav,Which sound among the following is the shortest in duration?,fireworks,coughing,snoring,crickets,C,random,3,"['ESC-50-master/audio/1-196660-A-8.wav', 'ESC-50-master/audio/3-126391-B-27.wav', 'ESC-50-master/audio/3-126391-B-27.wav', 'ESC-50-master/audio/1-196660-A-8.wav', 'ESC-50-master/audio/1-27405-A-28.wav']","{'sheep': 'ESC-50-master/audio/1-196660-A-8.wav', 'brushing_teeth': 'ESC-50-master/audio/3-126391-B-27.wav', 'snoring': 'ESC-50-master/audio/1-27405-A-28.wav'}"
16,TREA_dataset/duration/audios/16.wav,Which sound among the following is the shortest in duration?,laughing,airplane,insects,cow,D,consec,2,"['ESC-50-master/audio/1-53467-A-47.wav', 'ESC-50-master/audio/1-53467-A-47.wav', 'ESC-50-master/audio/5-207836-A-29.wav', 'ESC-50-master/audio/5-207836-A-29.wav', 'ESC-50-master/audio/3-124376-A-3.wav']","{'airplane': 'ESC-50-master/audio/1-53467-A-47.wav', 'drinking_sipping': 'ESC-50-master/audio/5-207836-A-29.wav', 'cow': 'ESC-50-master/audio/3-124376-A-3.wav'}"
17,TREA_dataset/duration/audios/17.wav,Which sound among the following is heard for the greatest length of time?,rain,pouring_water,vacuum_cleaner,keyboard_typing,C,random,3,"['ESC-50-master/audio/1-60460-A-36.wav', 'ESC-50-master/audio/2-66637-A-20.wav', 'ESC-50-master/audio/2-70052-B-42.wav', 'ESC-50-master/audio/1-60460-A-36.wav']","{'siren': 'ESC-50-master/audio/2-70052-B-42.wav', 'vacuum_cleaner': 'ESC-50-master/audio/1-60460-A-36.wav', 'crying_baby': 'ESC-50-master/audio/2-66637-A-20.wav'}"
18,TREA_dataset/duration/audios/18.wav,Which sound among the following is the shortest in duration?,insects,clock_alarm,crow,pouring_water,A,consec,3,"['ESC-50-master/audio/5-203128-A-0.wav', 'ESC-50-master/audio/5-203128-A-0.wav', 'ESC-50-master/audio/4-189830-A-22.wav', 'ESC-50-master/audio/4-189830-A-22.wav', 'ESC-50-master/audio/5-194932-A-7.wav']","{'dog': 'ESC-50-master/audio/5-203128-A-0.wav', 'clapping': 'ESC-50-master/audio/4-189830-A-22.wav', 'insects': 'ESC-50-master/audio/5-194932-A-7.wav'}"
19,TREA_dataset/duration/audios/19.wav,Which sound among the following is heard for the greatest length of time?,crickets,door_wood_creaks,crow,siren,C,random,2,"['ESC-50-master/audio/2-109231-B-9.wav', 'ESC-50-master/audio/1-101296-B-19.wav', 'ESC-50-master/audio/2-109231-B-9.wav', 'ESC-50-master/audio/2-109231-B-9.wav', 'ESC-50-master/audio/2-91912-A-33.wav']","{'crow': 'ESC-50-master/audio/2-109231-B-9.wav', 'door_wood_creaks': 'ESC-50-master/audio/2-91912-A-33.wav', 'thunderstorm': 'ESC-50-master/audio/1-101296-B-19.wav'}"
20,TREA_dataset/duration/audios/20.wav,Which of the following sounds lasts for the shortest time?,coughing,dog,water_drops,clapping,C,random,1,"['ESC-50-master/audio/1-30344-A-0.wav', 'ESC-50-master/audio/4-189833-A-22.wav', 'ESC-50-master/audio/1-30344-A-0.wav', 'ESC-50-master/audio/4-197871-A-15.wav', 'ESC-50-master/audio/4-189833-A-22.wav']","{'water_drops': 'ESC-50-master/audio/4-197871-A-15.wav', 'clapping': 'ESC-50-master/audio/4-189833-A-22.wav', 'dog': 'ESC-50-master/audio/1-30344-A-0.wav'}"
21,TREA_dataset/duration/audios/21.wav,Which of the following sounds lasts for the shortest time?,hand_saw,washing_machine,crow,door_wood_knock,D,random,1,"['ESC-50-master/audio/5-214869-A-9.wav', 'ESC-50-master/audio/2-51630-A-49.wav', 'ESC-50-master/audio/5-214869-A-9.wav', 'ESC-50-master/audio/1-26188-A-30.wav', 'ESC-50-master/audio/2-51630-A-49.wav']","{'door_wood_knock': 'ESC-50-master/audio/1-26188-A-30.wav', 'crow': 'ESC-50-master/audio/5-214869-A-9.wav', 'hand_saw': 'ESC-50-master/audio/2-51630-A-49.wav'}"
22,TREA_dataset/duration/audios/22.wav,Which sound among the following is heard for the greatest length of time?,washing_machine,pouring_water,clock_alarm,church_bells,A,consec,2,"['ESC-50-master/audio/2-102852-A-11.wav', 'ESC-50-master/audio/5-212734-A-17.wav', 'ESC-50-master/audio/5-245040-A-35.wav', 'ESC-50-master/audio/5-245040-A-35.wav', 'ESC-50-master/audio/5-245040-A-35.wav']","{'sea_waves': 'ESC-50-master/audio/2-102852-A-11.wav', 'pouring_water': 'ESC-50-master/audio/5-212734-A-17.wav', 'washing_machine': 'ESC-50-master/audio/5-245040-A-35.wav'}"
23,TREA_dataset/duration/audios/23.wav,Which of these sounds has the longest duration?,engine,crow,frog,water_drops,D,consec,1,"['ESC-50-master/audio/1-12653-A-15.wav', 'ESC-50-master/audio/1-12653-A-15.wav', 'ESC-50-master/audio/1-12653-A-15.wav', 'ESC-50-master/audio/3-141240-A-44.wav', 'ESC-50-master/audio/5-187201-A-4.wav']","{'water_drops': 'ESC-50-master/audio/1-12653-A-15.wav', 'engine': 'ESC-50-master/audio/3-141240-A-44.wav', 'frog': 'ESC-50-master/audio/5-187201-A-4.wav'}"
24,TREA_dataset/duration/audios/24.wav,Which of the given sounds is heard for the least amount of time?,frog,dog,chirping_birds,train,B,consec,2,"['ESC-50-master/audio/1-34495-A-14.wav', 'ESC-50-master/audio/1-34495-A-14.wav', 'ESC-50-master/audio/5-212454-A-0.wav', 'ESC-50-master/audio/2-60900-A-22.wav', 'ESC-50-master/audio/2-60900-A-22.wav']","{'chirping_birds': 'ESC-50-master/audio/1-34495-A-14.wav', 'dog': 'ESC-50-master/audio/5-212454-A-0.wav', 'clapping': 'ESC-50-master/audio/2-60900-A-22.wav'}"
25,TREA_dataset/duration/audios/25.wav,Which sound among the following is the shortest in duration?,snoring,pouring_water,footsteps,airplane,B,consec,3,"['ESC-50-master/audio/2-77347-A-46.wav', 'ESC-50-master/audio/2-77347-A-46.wav', 'ESC-50-master/audio/1-64398-B-41.wav', 'ESC-50-master/audio/1-64398-B-41.wav', 'ESC-50-master/audio/5-215634-A-17.wav']","{'church_bells': 'ESC-50-master/audio/2-77347-A-46.wav', 'chainsaw': 'ESC-50-master/audio/1-64398-B-41.wav', 'pouring_water': 'ESC-50-master/audio/5-215634-A-17.wav'}"
26,TREA_dataset/duration/audios/26.wav,Which of the given sounds is heard for the least amount of time?,thunderstorm,rain,clock_alarm,church_bells,B,consec,2,"['ESC-50-master/audio/4-160999-A-10.wav', 'ESC-50-master/audio/2-77346-A-46.wav', 'ESC-50-master/audio/2-77346-A-46.wav', 'ESC-50-master/audio/4-172500-D-27.wav', 'ESC-50-master/audio/4-172500-D-27.wav']","{'rain': 'ESC-50-master/audio/4-160999-A-10.wav', 'church_bells': 'ESC-50-master/audio/2-77346-A-46.wav', 'brushing_teeth': 'ESC-50-master/audio/4-172500-D-27.wav'}"
27,TREA_dataset/duration/audios/27.wav,Which sound among the following is heard for the longest time?,cat,pouring_water,can_opening,clapping,D,random,3,"['ESC-50-master/audio/2-76408-B-22.wav', 'ESC-50-master/audio/4-161105-B-47.wav', 'ESC-50-master/audio/2-76408-B-22.wav', 'ESC-50-master/audio/2-108761-A-14.wav', 'ESC-50-master/audio/2-76408-B-22.wav']","{'airplane': 'ESC-50-master/audio/4-161105-B-47.wav', 'clapping': 'ESC-50-master/audio/2-76408-B-22.wav', 'chirping_birds': 'ESC-50-master/audio/2-108761-A-14.wav'}"
28,TREA_dataset/duration/audios/28.wav,Which sound among the following is the shortest in duration?,siren,church_bells,train,brushing_teeth,B,consec,3,"['ESC-50-master/audio/3-110913-D-7.wav', 'ESC-50-master/audio/3-110913-D-7.wav', 'ESC-50-master/audio/3-147965-A-12.wav', 'ESC-50-master/audio/3-147965-A-12.wav', 'ESC-50-master/audio/5-219044-A-46.wav']","{'insects': 'ESC-50-master/audio/3-110913-D-7.wav', 'crackling_fire': 'ESC-50-master/audio/3-147965-A-12.wav', 'church_bells': 'ESC-50-master/audio/5-219044-A-46.wav'}"
29,TREA_dataset/duration/audios/29.wav,Which sound among the following is heard for the greatest length of time?,crickets,chirping_birds,drinking_sipping,mouse_click,A,consec,3,"['ESC-50-master/audio/2-106019-A-13.wav', 'ESC-50-master/audio/2-106019-A-13.wav', 'ESC-50-master/audio/5-235874-A-28.wav', 'ESC-50-master/audio/2-52085-A-4.wav']","{'crickets': 'ESC-50-master/audio/2-106019-A-13.wav', 'snoring': 'ESC-50-master/audio/5-235874-A-28.wav', 'frog': 'ESC-50-master/audio/2-52085-A-4.wav'}"
30,TREA_dataset/duration/audios/30.wav,Which of the following sounds lasts for the shortest time?,vacuum_cleaner,laughing,siren,car_horn,C,consec,3,"['ESC-50-master/audio/2-107351-B-20.wav', 'ESC-50-master/audio/2-107351-B-20.wav', 'ESC-50-master/audio/5-133989-A-42.wav', 'ESC-50-master/audio/5-235671-A-38.wav', 'ESC-50-master/audio/5-235671-A-38.wav']","{'crying_baby': 'ESC-50-master/audio/2-107351-B-20.wav', 'siren': 'ESC-50-master/audio/5-133989-A-42.wav', 'clock_tick': 'ESC-50-master/audio/5-235671-A-38.wav'}"
31,TREA_dataset/duration/audios/31.wav,Which sound among the following is heard for the greatest length of time?,keyboard_typing,cow,rain,crackling_fire,D,consec,3,"['ESC-50-master/audio/2-109231-A-9.wav', 'ESC-50-master/audio/1-17742-A-12.wav', 'ESC-50-master/audio/1-17742-A-12.wav', 'ESC-50-master/audio/1-17742-A-12.wav', 'ESC-50-master/audio/5-207836-C-29.wav']","{'crow': 'ESC-50-master/audio/2-109231-A-9.wav', 'crackling_fire': 'ESC-50-master/audio/1-17742-A-12.wav', 'drinking_sipping': 'ESC-50-master/audio/5-207836-C-29.wav'}"
32,TREA_dataset/duration/audios/32.wav,Which sound among the following is heard for the longest time?,vacuum_cleaner,pig,clock_alarm,chainsaw,D,consec,3,"['ESC-50-master/audio/1-64398-B-41.wav', 'ESC-50-master/audio/1-64398-B-41.wav', 'ESC-50-master/audio/1-64398-B-41.wav', 'ESC-50-master/audio/5-212050-A-27.wav', 'ESC-50-master/audio/2-74977-A-18.wav']","{'chainsaw': 'ESC-50-master/audio/1-64398-B-41.wav', 'brushing_teeth': 'ESC-50-master/audio/5-212050-A-27.wav', 'toilet_flush': 'ESC-50-master/audio/2-74977-A-18.wav'}"
33,TREA_dataset/duration/audios/33.wav,Which sound among the following is heard for the longest time?,door_wood_creaks,snoring,train,chainsaw,D,consec,2,"['ESC-50-master/audio/4-132839-A-33.wav', 'ESC-50-master/audio/4-175000-B-40.wav', 'ESC-50-master/audio/1-64398-B-41.wav', 'ESC-50-master/audio/1-64398-B-41.wav']","{'door_wood_creaks': 'ESC-50-master/audio/4-132839-A-33.wav', 'helicopter': 'ESC-50-master/audio/4-175000-B-40.wav', 'chainsaw': 'ESC-50-master/audio/1-64398-B-41.wav'}"
34,TREA_dataset/duration/audios/34.wav,Which of the following sounds lasts for the shortest time?,washing_machine,toilet_flush,footsteps,clapping,A,random,1,"['ESC-50-master/audio/3-93010-A-18.wav', 'ESC-50-master/audio/3-93010-A-18.wav', 'ESC-50-master/audio/5-209989-A-22.wav', 'ESC-50-master/audio/5-209989-A-22.wav', 'ESC-50-master/audio/1-27166-A-35.wav']","{'toilet_flush': 'ESC-50-master/audio/3-93010-A-18.wav', 'washing_machine': 'ESC-50-master/audio/1-27166-A-35.wav', 'clapping': 'ESC-50-master/audio/5-209989-A-22.wav'}"
35,TREA_dataset/duration/audios/35.wav,Which sound among the following is heard for the greatest length of time?,snoring,car_horn,rooster,drinking_sipping,A,consec,3,"['ESC-50-master/audio/2-188822-D-40.wav', 'ESC-50-master/audio/4-197454-B-28.wav', 'ESC-50-master/audio/4-197454-B-28.wav', 'ESC-50-master/audio/1-76831-C-42.wav']","{'helicopter': 'ESC-50-master/audio/2-188822-D-40.wav', 'snoring': 'ESC-50-master/audio/4-197454-B-28.wav', 'siren': 'ESC-50-master/audio/1-76831-C-42.wav'}"
36,TREA_dataset/duration/audios/36.wav,Which sound among the following is the shortest in duration?,wind,pig,rooster,church_bells,A,consec,1,"['ESC-50-master/audio/2-95258-A-1.wav', 'ESC-50-master/audio/2-95258-A-1.wav', 'ESC-50-master/audio/2-104952-A-16.wav', 'ESC-50-master/audio/3-87936-A-46.wav', 'ESC-50-master/audio/3-87936-A-46.wav']","{'rooster': 'ESC-50-master/audio/2-95258-A-1.wav', 'wind': 'ESC-50-master/audio/2-104952-A-16.wav', 'church_bells': 'ESC-50-master/audio/3-87936-A-46.wav'}"
37,TREA_dataset/duration/audios/37.wav,Which of the following sounds lasts for the shortest time?,coughing,hen,can_opening,crickets,A,consec,1,"['ESC-50-master/audio/3-145487-A-24.wav', 'ESC-50-master/audio/5-263831-B-6.wav', 'ESC-50-master/audio/5-263831-B-6.wav', 'ESC-50-master/audio/2-110613-A-13.wav', 'ESC-50-master/audio/2-110613-A-13.wav']","{'coughing': 'ESC-50-master/audio/3-145487-A-24.wav', 'hen': 'ESC-50-master/audio/5-263831-B-6.wav', 'crickets': 'ESC-50-master/audio/2-110613-A-13.wav'}"
38,TREA_dataset/duration/audios/38.wav,Which sound among the following is the shortest in duration?,clock_tick,thunderstorm,can_opening,train,B,random,2,"['ESC-50-master/audio/2-135649-C-45.wav', 'ESC-50-master/audio/2-32834-A-4.wav', 'ESC-50-master/audio/2-135649-C-45.wav', 'ESC-50-master/audio/2-39443-A-19.wav', 'ESC-50-master/audio/2-32834-A-4.wav']","{'thunderstorm': 'ESC-50-master/audio/2-39443-A-19.wav', 'frog': 'ESC-50-master/audio/2-32834-A-4.wav', 'train': 'ESC-50-master/audio/2-135649-C-45.wav'}"
39,TREA_dataset/duration/audios/39.wav,Which of these sounds has the longest duration?,keyboard_typing,dog,washing_machine,pouring_water,D,consec,1,"['ESC-50-master/audio/2-118459-B-32.wav', 'ESC-50-master/audio/2-102568-A-35.wav', 'ESC-50-master/audio/5-205589-A-17.wav', 'ESC-50-master/audio/5-205589-A-17.wav']","{'keyboard_typing': 'ESC-50-master/audio/2-118459-B-32.wav', 'washing_machine': 'ESC-50-master/audio/2-102568-A-35.wav', 'pouring_water': 'ESC-50-master/audio/5-205589-A-17.wav'}"
40,TREA_dataset/duration/audios/40.wav,Which sound among the following is heard for the greatest length of time?,crickets,clock_tick,footsteps,clock_alarm,C,random,2,"['ESC-50-master/audio/4-198962-B-25.wav', 'ESC-50-master/audio/4-198962-B-25.wav', 'ESC-50-master/audio/1-72195-B-37.wav', 'ESC-50-master/audio/4-198962-B-25.wav', 'ESC-50-master/audio/2-120218-A-30.wav']","{'footsteps': 'ESC-50-master/audio/4-198962-B-25.wav', 'door_wood_knock': 'ESC-50-master/audio/2-120218-A-30.wav', 'clock_alarm': 'ESC-50-master/audio/1-72195-B-37.wav'}"
41,TREA_dataset/duration/audios/41.wav,Which sound among the following is heard for the greatest length of time?,rain,insects,crying_baby,can_opening,A,consec,1,"['ESC-50-master/audio/5-197446-A-7.wav', 'ESC-50-master/audio/5-198321-A-10.wav', 'ESC-50-master/audio/5-198321-A-10.wav', 'ESC-50-master/audio/5-198321-A-10.wav', 'ESC-50-master/audio/2-83667-A-34.wav']","{'insects': 'ESC-50-master/audio/5-197446-A-7.wav', 'rain': 'ESC-50-master/audio/5-198321-A-10.wav', 'can_opening': 'ESC-50-master/audio/2-83667-A-34.wav'}"
42,TREA_dataset/duration/audios/42.wav,Which sound among the following is heard for the longest time?,cat,mouse_click,clapping,drinking_sipping,C,random,3,"['ESC-50-master/audio/3-130330-A-22.wav', 'ESC-50-master/audio/3-130330-A-22.wav', 'ESC-50-master/audio/3-130330-A-22.wav', 'ESC-50-master/audio/2-135649-C-45.wav', 'ESC-50-master/audio/3-118658-A-41.wav']","{'train': 'ESC-50-master/audio/2-135649-C-45.wav', 'clapping': 'ESC-50-master/audio/3-130330-A-22.wav', 'chainsaw': 'ESC-50-master/audio/3-118658-A-41.wav'}"
43,TREA_dataset/duration/audios/43.wav,Which sound among the following is heard for the longest time?,pig,rain,helicopter,church_bells,D,consec,3,"['ESC-50-master/audio/4-147658-A-46.wav', 'ESC-50-master/audio/4-147658-A-46.wav', 'ESC-50-master/audio/3-117293-A-9.wav', 'ESC-50-master/audio/1-30709-C-23.wav']","{'church_bells': 'ESC-50-master/audio/4-147658-A-46.wav', 'crow': 'ESC-50-master/audio/3-117293-A-9.wav', 'breathing': 'ESC-50-master/audio/1-30709-C-23.wav'}"
44,TREA_dataset/duration/audios/44.wav,Which of the following sounds lasts for the shortest time?,pig,coughing,clock_alarm,crackling_fire,C,consec,2,"['ESC-50-master/audio/3-103401-D-33.wav', 'ESC-50-master/audio/3-103401-D-33.wav', 'ESC-50-master/audio/4-209698-A-37.wav', 'ESC-50-master/audio/3-158476-A-12.wav', 'ESC-50-master/audio/3-158476-A-12.wav']","{'door_wood_creaks': 'ESC-50-master/audio/3-103401-D-33.wav', 'clock_alarm': 'ESC-50-master/audio/4-209698-A-37.wav', 'crackling_fire': 'ESC-50-master/audio/3-158476-A-12.wav'}"
45,TREA_dataset/duration/audios/45.wav,Which sound among the following is heard for the longest time?,dog,train,rain,chainsaw,B,consec,1,"['ESC-50-master/audio/3-157492-A-45.wav', 'ESC-50-master/audio/3-157492-A-45.wav', 'ESC-50-master/audio/3-157492-A-45.wav', 'ESC-50-master/audio/2-68391-B-41.wav', 'ESC-50-master/audio/5-212454-A-0.wav']","{'train': 'ESC-50-master/audio/3-157492-A-45.wav', 'chainsaw': 'ESC-50-master/audio/2-68391-B-41.wav', 'dog': 'ESC-50-master/audio/5-212454-A-0.wav'}"
46,TREA_dataset/duration/audios/46.wav,Which sound among the following is heard for the greatest length of time?,clapping,thunderstorm,hen,pouring_water,A,random,3,"['ESC-50-master/audio/1-181071-B-40.wav', 'ESC-50-master/audio/4-205738-A-22.wav', 'ESC-50-master/audio/4-171396-A-24.wav', 'ESC-50-master/audio/4-205738-A-22.wav']","{'clapping': 'ESC-50-master/audio/4-205738-A-22.wav', 'coughing': 'ESC-50-master/audio/4-171396-A-24.wav', 'helicopter': 'ESC-50-master/audio/1-181071-B-40.wav'}"
47,TREA_dataset/duration/audios/47.wav,Which sound among the following is heard for the longest time?,rooster,crying_baby,cat,siren,D,random,1,"['ESC-50-master/audio/3-51731-A-42.wav', 'ESC-50-master/audio/3-51731-A-42.wav', 'ESC-50-master/audio/3-154957-A-1.wav', 'ESC-50-master/audio/2-69131-A-5.wav', 'ESC-50-master/audio/3-51731-A-42.wav']","{'cat': 'ESC-50-master/audio/2-69131-A-5.wav', 'rooster': 'ESC-50-master/audio/3-154957-A-1.wav', 'siren': 'ESC-50-master/audio/3-51731-A-42.wav'}"
